tt0322737,In a New Light: Sex Unplugged,1995,\N,\N,Music/Reality-TV,7.4,10
tt0613896,Bam Kicking His Dad's Ass All Day Today,2000,\N,27,Action/Comedy/Reality-TV,7.4,72
tt0613897,Poo Poo Platter,2000,\N,26,Action/Comedy/Reality-TV,7.4,71
tt0613898,Mianus,2000,\N,23,Action/Comedy/Reality-TV,7.4,73
tt0613901,Cup Test,2000,\N,\N,Action/Comedy/Reality-TV,7.4,68
tt0786153,Blind Driver,2000,\N,27,Action/Comedy/Reality-TV,7.4,77
tt0808117,Wanted,1996,1997,60,Game-Show/Reality-TV,7.4,17
tt0818733,The Human Zoo,2000,\N,154,Documentary/Reality-TV,7.4,25
tt0832326,Yoga Kids,1996,\N,35,Family/Reality-TV/Short,7.4,7
tt0166457,Real TV,1996,2001,\N,Documentary/News/Reality-TV,7.3,33
tt0264263,Jackass,2000,2007,535,Action/Comedy/Reality-TV,7.3,21058
tt0478935,Duty Calls,2000,2003,\N,Documentary/Reality-TV,7.3,7
tt0613899,Casket,2000,\N,\N,Action/Comedy/Reality-TV,7.3,70
tt0613900,Santa Colonic,2000,\N,\N,Action/Comedy/Reality-TV,7.3,70
tt0786154,Poo Joust,2000,\N,\N,Action/Comedy/Reality-TV,7.3,72
tt0803953,Big Brother 2000 launch,2000,\N,\N,Game-Show/Reality-TV,7.3,14
tt0991063,TV Champion,1999,\N,\N,Reality-TV,7.3,6
tt0110859,Police Stop!,1994,\N,50,Documentary/Reality-TV,7.2,12
tt0112056,MADtv,1995,2016,60,Comedy/Reality-TV/Talk-Show,7.2,9460
tt0159847,Antiques Roadshow,1997,\N,\N,Reality-TV,7.2,1121
tt0195464,The Hypnotic World of Paul McKenna,1993,\N,\N,Comedy/Reality-TV/Sci-Fi,7.2,18
tt0213345,Ground Force,1998,\N,30,Reality-TV,7.2,121
tt0239195,Survivor,2000,\N,60,Adventure/Game-Show/Reality-TV,7.2,21252
tt0280312,Scariest Places on Earth,2000,\N,\N,Horror/Mystery/Reality-TV,7.2,429
tt0284160,Ground Force Mandela Special,2000,\N,50,Reality-TV,7.2,5
tt0294167,Pioneer Quest: A Year in the Real West,2000,\N,60,History/Reality-TV,7.2,151
tt0317468,Faking It,2000,\N,\N,Reality-TV,7.2,55
tt0318957,When Good Pets Go Bad 2,2000,\N,\N,Reality-TV,7.2,18
tt0321016,Walt Disney World Inside Out,1994,\N,30,Family/Reality-TV,7.2,10
tt0443372,Eco-Challenge Morocco,1998,\N,\N,Adventure/Game-Show/Reality-TV,7.2,16
tt0103058,Teen Vid I,1991,\N,\N,Music/Reality-TV,7.1,46
tt0106111,Real Stories of the Highway Patrol,1993,1999,\N,Reality-TV,7.1,139
tt0261470,Expeditie Robinson,2000,\N,\N,Adventure/Game-Show/Reality-TV,7.1,381
tt0122822,The Good Sex Guide,1993,\N,30,Reality-TV,7,19
tt0266193,Surprise Surprise,2000,2001,60,Comedy/Reality-TV,7,7
tt0273010,Primer impacto: ediciÃ³n nocturna,1994,\N,60,News/Reality-TV,7,16
tt0278178,It's Christopher Lowell,1999,2003,30,Reality-TV,7,21
tt0303445,Christmas,1990,\N,30,Reality-TV,7,7
tt0313643,Sports Illustrated: Swimsuit '97,1997,\N,45,Reality-TV,7,24
tt0788681,Hawaii,1999,\N,\N,Adventure/Reality-TV,7,9
tt0905171,Moving In: Boston,1997,\N,\N,Drama/Reality-TV,7,6
tt0910248,Heat 1,1992,\N,\N,Action/Game-Show/Reality-TV,7,6
tt0173606,The World's Funniest!,1998,\N,\N,Comedy/Reality-TV,6.9,15
tt0266044,When Changing Rooms Met Ground Force II,2000,\N,\N,Reality-TV,6.9,8
tt0285362,Essence of Emeril,1996,2008,22,Reality-TV,6.9,43
